ticket,signal,is_long,profit,bars,close_time,reason,run
1,EMA_CROSS_BEAR,False,-99.0739881612876,3,2023-01-09 14:00:00,SL,A_nofilter
2,EMA_CROSS_BEAR,False,83.68645508761007,6,2023-01-10 08:00:00,TP1,A_nofilter
2,EMA_CROSS_BEAR,False,0.34999999999968173,9,2023-01-10 11:00:00,SL,A_nofilter
3,EMA_CROSS_BULL,True,83.46380614319355,4,2023-01-11 17:00:00,TP1,A_nofilter
3,EMA_CROSS_BULL,True,0.5499999999994998,9,2023-01-11 22:00:00,SL,A_nofilter
4,EMA_CROSS_BEAR,False,81.58627643096816,6,2023-01-16 03:00:00,TP1,A_nofilter
4,EMA_CROSS_BEAR,False,163.1725528619363,6,2023-01-16 03:00:00,TP2,A_nofilter
5,EMA_CROSS_BULL,True,-103.66633239164345,2,2023-01-16 19:00:00,SL,A_nofilter
6,EMA_CROSS_BEAR,False,-102.484003865884,14,2023-01-17 09:00:00,SL,A_nofilter
7,EMA_CROSS_BULL,True,83.35523715630484,6,2023-01-17 10:00:00,TP1,A_nofilter
7,EMA_CROSS_BULL,True,0.5499999999994998,30,2023-01-18 10:00:00,SL,A_nofilter
8,EMA_CROSS_BEAR,False,-103.39871419060955,3,2023-01-18 10:00:00,SL,A_nofilter
10,EMA_CROSS_BULL,True,-99.88132887568781,2,2023-01-20 10:00:00,SL,A_nofilter
9,EMA_CROSS_BEAR,False,-97.85691793348632,11,2023-01-20 18:00:00,SL,A_nofilter
11,EMA_CROSS_BULL,True,83.79163874935534,10,2023-01-23 03:00:00,TP1,A_nofilter
11,EMA_CROSS_BULL,True,158.76310499877647,21,2023-01-23 14:00:00,TP2,A_nofilter
12,EMA_CROSS_BULL,True,85.02193206475205,3,2023-01-25 00:00:00,TP1,A_nofilter
12,EMA_CROSS_BULL,True,0.6999999999993635,4,2023-01-25 01:00:00,SL,A_nofilter
13,EMA_CROSS_BEAR,False,85.25861733257318,1,2023-01-25 02:00:00,TP1,A_nofilter
13,EMA_CROSS_BEAR,False,0.4499999999995907,2,2023-01-25 03:00:00,SL,A_nofilter
14,EMA_CROSS_BULL,True,-102.14938262339727,3,2023-01-27 23:00:00,SL,A_nofilter
15,EMA_CROSS_BEAR,False,-104.47145021315261,1,2023-01-27 23:00:00,SL,A_nofilter
16,EMA_CROSS_BULL,True,82.31207160467602,4,2023-01-30 03:00:00,TP1,A_nofilter
16,EMA_CROSS_BULL,True,0.39999999999963626,19,2023-01-30 18:00:00,SL,A_nofilter
17,EMA_CROSS_BEAR,False,82.62573711470009,3,2023-01-31 00:00:00,TP1,A_nofilter
17,EMA_CROSS_BEAR,False,0.34999999999968173,23,2023-01-31 20:00:00,SL,A_nofilter
18,EMA_CROSS_BULL,True,86.6981600151289,5,2023-01-31 23:00:00,TP1,A_nofilter
18,EMA_CROSS_BULL,True,0.4499999999995907,16,2023-02-01 10:00:00,SL,A_nofilter
19,EMA_CROSS_BEAR,False,89.0890303005284,22,2023-02-03 04:00:00,TP1,A_nofilter
19,EMA_CROSS_BEAR,False,0.34999999999968173,44,2023-02-06 02:00:00,SL,A_nofilter
20,EMA_CROSS_BULL,True,87.10007565200783,9,2023-02-08 12:00:00,TP1,A_nofilter
